[-254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, 0, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254]
[-254, -244, -158, -254, -254, -254, -246, -222, -254, -240, -254, -242, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -230, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -190, -158, -254, -246, -230, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -190, -254, -222, -254, -254]
[-248, 64, -190, -254, -254, -240, -190, -254, -224, 64, -238, -142, -226, -198, -254, -254, -254, -254, -62, -250, -254, -254, -190, -158, -240, -254, -254, -254, -254, -254, -254, -190, -190, -254, -230, -248, -190, -254, -254, -238, -254, -240, -254, -254, -228, -252, -254, -190, -180, -254, -224, -254, -198, -190, -254, -254, -248, -250, -254, -254, -158, -62, -248, -254]
[0, -190, -222, -254, -254, 0, -198, -254, 14, -192, -254, -158, -240, -206, -254, -254, -254, -254, -62, -254, -254, -254, -206, -158, 0, -254, -254, -254, -254, -254, -254, -190, -206, -254, -238, 0, -214, -254, -254, -250, -254, 0, -254, -254, 16, 0, -254, -206, 64, -254, 16, -254, -228, -206, -254, -254, 0, -254, -254, -254, -158, -126, 0, -254]
[-224, -158, -190, -254, -254, -224, -158, -254, 52, 96, -230, -126, 48, -188, -240, -254, -254, -254, -62, -230, -248, -254, -176, -142, -224, -248, -254, -226, -254, -252, -252, -158, -166, -254, -208, -240, -158, -254, -240, -224, -254, -224, -254, -254, -206, -222, -254, -176, -126, -254, -190, -254, 64, -174, -238, -250, -230, -230, -240, -230, -126, -62, -220, -254]
[30, -134, -158, -248, -254, 56, -150, -248, -192, -132, -216, -110, -182, 96, 20, -248, -240, -254, -30, -224, 24, -254, 104, -118, 40, 14, -254, -198, -250, 14, 24, -134, -142, -254, 64, 30, -134, -254, 34, 62, -254, 56, -254, -254, -188, -198, -254, 96, -126, -242, -188, -248, -158, -158, -212, -240, -220, -206, 26, -206, -62, -30, 56, -254]
[6, -62, -78, 0, -126, -112, -62, 0, 30, 66, 6, -14, -100, -70, -126, 0, 0, -126, -62, 2, -126, -126, -62, -30, -120, 0, -126, -124, -126, 0, -126, -62, -62, -126, -102, 12, -62, -126, 0, 14, -126, -112, -126, -126, 30, -118, -126, -62, -30, -126, 24, 0, -78, -70, 0, 0, 2, -124, 0, -126, -30, -62, -114, -126]
[30, -14, -60, -120, -126, 48, -14, -124, 66, 0, 38, -62, 64, -30, -112, -124, -118, -126, -28, 28, -102, -126, -30, -126, 34, -112, -126, 48, -124, -112, -108, -14, -30, -126, -68, -96, -14, -126, -112, 48, -126, 48, -126, -126, 66, -78, -126, -30, -126, -124, -62, -126, -30, -30, -98, -112, 32, 34, -104, -96, -124, -62, -78, -126]
[0, -62, 32, 0, -126, -118, -70, 0, 24, -64, 4, -30, -112, -78, 0, 0, -126, -126, -62, 0, -126, -126, -62, -30, 0, 0, -126, -126, 0, 0, 0, -62, -78, -126, 14, 6, -70, -126, 0, -126, -126, -118, -126, -126, 14, -124, -126, -62, -46, 0, -112, -126, -88, -78, -126, 0, -126, 0, 0, 0, 78, -62, -124, -126]
[-126, -70, -102, -126, -126, -126, -70, -126, -112, 56, -126, -30, 14, -78, -126, -126, -126, -126, -62, -126, -126, -126, -62, -30, -126, -126, -126, -126, -126, -126, -126, -62, -70, -126, 24, 0, -62, -126, -126, -124, -126, -124, -126, -126, 16, 0, -126, -78, -54, -126, 14, -126, 28, -92, -126, -126, -126, -126, -126, -126, 96, -62, 0, -126]
